3D holography,"Realität: Das Hologramm der Träume.","Karl Heinz Karius"
Angel,"Sage nicht mein Engel, wenn dich Beelzebub besucht.","Sprichwort"
Angel,"Wenn ein Engel ein Teufel wird, so wirt er gar böss.","Sprichwort"
Angel,"Wir verlangen manchmal so sehr, Engel zu sein, daß wir darüber vergessenm gute Menschen zu sein.","Franz von Assisi"
Animal,"Dastehen wie ein betrönnter Hund.","Sprichwort"
Animal,"Der Mensch hat mehr von einem Affen, als so mancher Affe.","Friedrich Nietzsche"
Animal,"Frisse eine Kuh bis auf die Schwantz.","Sprichwort"
Animal,"Wenn der moderne Mensch die Tiere, deren er sich als Nahrung bedient, selbst töten müsste, würde die Anzahl der Pflanzenesser ins Ungemessene steigen.","Christian Morgenstern"
Ant,"Auch Ameisen haben Galle.","Sprichwort"
Ant,"Baut die Ameise hoch ihr Haus, fällt der Winter trocken aus,","alte Bauernweisheit"
Ant,"Eine Ameise baut nicht allein.","Sprichwort"
Antibiotics,"Die Nahrung soll Deine Medizin sein, und nicht die Medizin Deine Nahrung,","Hippokrates von Kos"
Apple,"Bei einem Apfelwein fehlt dem Deutschen sein Kreuz nicht ein.","Deutsches Sprichwort"
Apple,"Der Apfel fällt nicht weit vom Stamm.",""
Apple,"Der Apfel fällt nicht weit vom Stamm.","Sprichwort"
Apple,"Schöne Äpfel sind auch wohl sauer.","Sprichwort"
Apple,"Wann wird der Zankapfel endlich zur verbotenen Frucht erklärt?","Wieslaw Brudzinski"
Aqualung,"Captain Bernett: ""Snark ist ein Zwei-Mann-Tauchgerät.""","U-Boot in Not"
Arable,"Auch guter Acker, ungebaut, trägt nichts als Disten und Unkraut.","Deutsches Sprichwort"
Arable,"Mit unwilligen Rossen ist nicht gut zu Acker fahren.","Deutsches Sprichwort"
Armor,"Die Feder durchdringt die stärkest Rüstung.","Sprichwort"
Armor,"Gibt's einen Harnisch wie des Herzens Reinheit?","William Shakespeare"
Armor,"Kein Harnisch schützt wider den Tod.",""
Armor,"Kühner Mut der beste Harnisch.",""
Armor,"Soldaten sind des Feindes Trutz, des Landes Schutz.","Deutsches Sprichwort"
Artificial heart,"Schlimmer als der Tod ist das Kunstherz.","William Schroeder"
Ash,"Der Funke glimmt auch unter der toten Asche.",""
Ash,"Tradition ist Bewahrung des Feuers und nicht Anbetung der Asche.","Gustav Mahler"
Ash,"Tradition ist nicht das Halten der Asche, sondern das Weitergeben der Flamme.","Thomas Morus"
Ash,"Von der Asche ist die Glut.","Sprichwort"
Ash,"Wer Asche streut, dem fliegt sie auf Kleid.","Sprichwort"
Ash_lost,"Ich möchte im Winter sterben,\nund dann sollen sie meine Asche auf den Bürgersteig streuen.\nWenn eine Oma dadurch vor dem Ausrutschen bewahrt wird,\nhabe ich zumindest noch ein gutes Werk getan.","Dieter Bohlen"
Assassin,"Aus demselben Eisen schmiedet der Landmann seinen Pflug, und der Mörder seinen Dolch.","Sprichwort"
Assassin,"Des einen Tod, des andern Brot.","Sprichwort"
Assembly line,"Nicht nur Autos, sondern auch Menschen werden jetzt am Fließband produziert.","Henry Ford"
Assistance,"Dem Armen helfen in der Qual ist das beste Kapital.","Sprichwort"
Assistance,"Man hilft den Menschen nicht, wenn man etwas für sie tut, was sie selbst tun können.","Abraham Lincoln"
Assistance,"Wer sich aufrichten will, der soll man helfen.","Sprichwort"
Astral,"Verschließe nicht deine Augen vor dem Leiden und lasse dein Bewusstsein nicht für seine Existenz abstumpfen.","Buddha"
Astronaut,"Drei Dinge sind uns aus dem Paradies geblieben: Sterne, Blumen und Kinder.","Dante Alighieri"
ATM,"Die letzte echte Innovation der Banken war der Geldautomat.","Paul Adolph Volker"
Audio cassette,"Ein Klassiker ist ein Autor, dessen Bücher als Kassette zu haben sind.","Hans Weigel"
Axe,"Man muß nicht ohne Beil in den Busch gehen.","Sprichwort"
Axe,"Mit einem kleinen Beil kann man einen großen Baum umhauen.","Sprichwort"
Axe,"Wer ohne Beil los zieht, dem kann im Walde nicht wohl sein.","Gottfried Keller"
Axe_lost,"Im Krieg verbinden sich die letzten Raffinessen der Wissenschaft\nmit den Grausamkeiten der Steinzeit.","Winston Churchill"
B52,"Schade, daß Noah und seine Sippe das Boot nicht verpasst haben.","Mark Twain"
Bacteria,"Die Müh ist Klein, der Spaß ist groß.","J. W. von Goethe"
Bacteria,"Ein Kuss ist der Austausch von Bakterienkulturen, allerdings nicht zu Forschungszwecken.","Karl Farkas"
Bacteria,"Gesundheit ist doch eine hässliche Krankheit, - sagen die Bakterien.",""
Bacteria,"Wir sind alle nur Plankton im Datenstrom des Medienzeitalters.","Jan Weiler"
Band-aid,"Geduld ist ein Pflaster für alle Wunden.","Miguel de Cervantes"
Bank,"Bankraub ist eine Unternehmung von Dilettanten. Wahre Profis gründen eine Bank.","Bertolt Brecht"
Bar code,"In der chinesischen Neustadt Lingang New City haben die Architekten von Gerkan, Marg und Partner eine Gebäudefassade mit Strichcode entworfen.","unbekannt"
Bard,"Der Dichter findet wol die Palmen, aber nicht die Datteln.","Deutsches Sprichwort"
Bard,"Der Dichter ist das Herz der Welt.","Joseph von Eichendorff"
Bard,"Ein stärker Dränger, ein schlechter Sänger.","Sprichwort"
Bastet,"Die Göttin des Glücks, der Freude, Liebe, weiblichen Schönheit, Fruchtbarkeit und von Haus und Herd. Sie wurde als Katze oder Frau mit einem Katzenkopf dargestellt.",""
Bazooka,"Die gefährlichste Waffe sind die Menschen kleinen Kalibers.","Wieslaw Brudzinski"
Bazooka,"Wir brauchen Bangalore-Minen, Bazookas, Granatwerfer, Drahtzangen und jeden Mann, der noch kriechen kann.","Der längste Tag"
Beach,"Nirgends rauschen die Laubwälder süßer und erquickender\nals am kahlen Strand, wo keine sind.","Arthur Schnitzler"
Beer,"Hast du Kummer, Liebesschmerz, drück ´nen Maßkrug Bier ans Herz.","unbekannt"
Beer,"Wer Bier trinkt aus Zigenille, der liegt drei Tage stille.","Deutsches Sprichwort"
Beer,"Wo sauer Bier ist, da muß Musik sein.","Deutsches Sprichwort"
Beer present,"Hast du Kummer, Liebesschmerz, drück ´nen Maßkrug Bier ans Herz.","unbekannt"
Beer present,"Wer Bier trinkt aus Zigenille, der liegt drei Tage stille.","Deutsches Sprichwort"
Beer present,"Wo sauer Bier ist, da muß Musik sein.","Deutsches Sprichwort"
Beetle,"Der Käfer ist eine Schönheit in den Augen seiner Mutter.","Bauernweisheit"
Beetle,"Was Gott an und für sich ist, wissen wir so wenig, als ein Käfer weiß, was ein Mensch ist.","Ulrich Zwingli"
Berries,"O Blick voll Wohlbehagen! Wenn Beer an Beere glänzt,\nwenn wir zur Kelter tragen, was Freuden uns kredenzt.","Hoffmann von Fallersleben"
Big bang theory,"Da nach der Urknalltheorie der Knall am Anfang gestanden haben soll, lässt der Urknall den Knall aus.","Brian Green"
Bikini,"Ich mag Mädchen im Bikini - keine versteckten Waffen.","James Bond 007"
Bird,"Besser ein Volgel im Netz, als hundert im Fluge.","Sprichwort"
Bird,"Der Mensch ist zur Arbeit geboren, wie der Vogel zum Fliegen.","Martin Luther"
Bird,"Fliege will auch Fogel sein.","Sprichwort"
Birth,"Adel muß man durch Tugend erstreben, er wird durch Geburt nicht gegeben.","Deutsches Sprichwort"
Birth,"Aller Tod in der Natur ist Geburt.","J. G. Fichte"
Birth,"Gut geboren ist nit verloren.","Sprichwort"
Black box,"Schuldgefühle kann man verdrängen, aber die Blackbox des Gewissens sorgt dafür, dass man sie nie ganz verliert.","unbekannt"
Black sail,"Wo wir auch hinfahren wollen, wir fahren hin. Dazu ist ein Schiff doch da. Es ist nicht nur ein Mast und ein Kiel und ein Rumpf, das alles braucht ein Schiff. Aber was ein Schiff bedeutet... was die Black Pearl bedeutet... ist die Freiheit.","Johnny Depp"
Blood,"Blut denkt nicht, Blut wallt.","Friedrich Schorlemmer"
Blood,"Eine Träne zu trocknen ist ehrenvoller, als Ströme von Blut zu vergießen.","George Gordon Byron"
Blood,"Gleich Blut, gleiche Glut und gleiche Jahre machen die besten Paare.","Sprichwort"
Blood,"Heiraten ins Blut tut selten gut.","Deutsches Sprichwort"
Blood,"Politik: Krieg ohne Blutvergießen; Krieg ist Politik mit Blutvergießen.","Mao Tse-tung"
Blood,"Wo Blut geflossen ist, kann der Baum der Vergessenheit nicht gedeihen.","Sprichwort"
Boat,"Der erste im Boot hat Wahl vom Ruder.","Sprichwort"
Boat,"Lege das Ruder erst dann aus der Hand, wenn das Boot an Land ist.","aus Gabun"
Boiler,"Kleine Töpfe kochen leicht über.","alte Bauernweisheit"
Bones,"Oft quälen mich Durchreisende mit langweiligen Besuchen,\nund da ich mich jetzt mit Osteologie beschäftige,\nso lege ich ihnen zuweilen meine vorhandenen Knochen vor.\nDas erregt den Besuchenden Langeweile,\nund sie empfehlen sich.","Johann Wolfgang von Goethe"
Book,"Die Welt ist ein Buch. Wer nie reist, sieht nur eine Seite davon.","Aurelius Augustinus"
Book,"Dort, wo man Bücher verbrennt, verbrennt man auch am Ende Menschen.","Heinrich Heine"
Book,"Ein Buch, das man liebt, darf man nicht leihen, sondern muß es besitzen.","Friedrich Nietzsche"
Book,"Je dicker das Buch, je dünner der Geist.","Deutsches Sprichwort"
Book,"Man muß das Buch nach seinem Titel nehmen.","Sprichwort"
Book,"Was tun die Personen in einem Buch, wenn es gerade niemand liest?","Michael Ende"
Bow,"Aus schlaffem Bogen fliegt kein Pfeil.","Sprichwort"
Bow,"So guten Bogen gibt es nicht, der überspannt und nicht zerbricht.","Freidank"
Bow,"Spann den Bogen nicht zu strenge, soll er halten in die Länge.","Sprichwort"
Bow_lost,"Ich weiß nicht, welche Waffen im nächsten Krieg zur Anwendung kommen,\nwohl aber, welche im übernächsten: Pfeil und Bogen.","Albert Einstein"
Bra,"Den vermutlich ältesten BH der Welt haben Forscher in Österreich/Tirol entdeckt.","Beatrix Nutz"
Brains present,"Das Gehirn ist ein Organ, mit dem wir denken, daß wir denken.","Ambrose Bierce"
Brains present,"Dem Gehirn der Frauen ist nicht viel zu trauen.","Deutsches Sprichwort"
Brains present,"Wer kein Gehirn hat, kann keins verlieren.","Sprichwort"
Bread,"Das schönste Brot liegt der Bäcker aufs Fenster.","Sprichwort"
Bread,"Gegessen Brot ist bald vergessen.","Sprichwort"
Bread,"Wer nicht arbeiten will, der lass´ das Brot auch liegen still.","Deutsches Sprichwort"
Bricks,"Es friert, daß die Ziegel auf den Dächern springen.","Sprichwort"
Bricks,"Man kann ohne Liebe Holz hacken, Ziegel formen, Eisen schmieden. Aber mit Menschen kann man nicht ohne Liebe umgehen.","Leo Tolstoi"
Bricks_lost,"Man kann ohne Liebe Holz hacken, Ziegel formen, Eisen schmieden.\nAber mit Menschen kann man nicht ohne Liebe umgehen.","Leo Tolstoi"
Bubble gum,"Fernsehen ist Kaugummi für die Augen.","Orson Welles"
Bushes,"Wenn du einen Freund hast, geh ihn oft besuchen,\ndenn Dornen und Gestrüpp verwachsen den Weg, der nicht begangen wird.","Asiatisches Sprichwort"
Butterfly,"Um einen Schmetterling lieben zu können, müssen wir auch ein paar Raupen mögen.","Antoine de Saint-Exupery"
Calm,"Sprächen die Menschen nur von Dingen, von denen sie etwas verstehen, die Stille wäre unerträglich.","Unbekannt"
Calmness,"Arbeit und Ruhe gehören zusammen, wie Auge und Lid.","Rabindranath Tagore"
Calmness,"Bei dem Geringen ist Ruhe.","Sprichwort"
Calmness,"Schwere Arbeit in der Jugend ist sanfte Ruhe im Alter.","Sprichwort"
Canvas,"Ein guter Schiffer meint, der Flachs wachse nur wegen des Segeltuchs.","Unbekannt"
Car,"Steigerung des Luxus: Eigenes Auto, eigene Villa, eigene Meinung.","Wieslaw Brudzinski"
Car,"Wenn ein Mann einer Frau die Autotür aufhält, ist entweder das Auto neu oder die Frau.","Henry Ford"
Car,"Wer glaubt, ein Christ zu sein, weil er die Kirche besucht, irrt sich. Man wird ja auch kein Auto, wenn man in eine Garage geht.","Twister"
Carcass,"Man muss dem Körper Gutes tun, damit die Seele Lust hat, darin zu wohnen.","Winston Churchill"
Cart,"Bei ungleicher Gespann geht der Wagen wie er kann,","Sprichwort"
Cart,"Faulheit läuft hinterm Wagen hin.","Sprichwort"
Cart,"Ist der Wagen einmal umgekippt, so fehlt es nicht an Ratschlägen.","aus Bulgarien"
Castle,"Auf einen Anlauf geht keine Festung über.","Sprichwort"
Castle,"Kind, mache dich gemein mit der Barmherzigkeit. Sie ist die Pfortnerin im Schloß der Seligkeit.","Angelus Silesius"
Castle,"Mein Haus ist meine Burg.",""
Castle,"Wer sein eigenes Herz in Schutz nimmt, verteidigt eine schöne Burg.","unbekannt"
Cat,"Ein guter Freund ist eine Katze, außer wenn sie krallt.","Sprichwort"
Cat,"Lieber barfuß laufen, als bei der Katze Pantoffeln kaufen.","Deutsches Sprichwort"
Cat,"Will die Katze nicht mausen, so laßt sie draußen.","Deutsches Sprichwort"
Cat_egypt,"Die Menschheit lässt sich grob in zwei Gruppen einteilen: in Katzenliebhaber und in vom Leben Benachteiligte.","Francesco Petrarca"
Cat_egypt,"Nachts sind alle Katzen grau","Ovid"
Cave,"Folgten wir nur der Tradition, lebten wir noch immer in Höhlen,\nfolgten wir nur dem Fortschritt, wäre dies bald wieder der Fall.","Leszek Kolakowski"
Cave,"Manchmal sitzt die ganze Seele\nin eines Zahnes dunkler Höhle.","Wilhelm Busch"
Caviar,"Alle Fische legen Eier. Die russischen sogar Kaviar.","unbekannt"
Caviar,"Die Donau hat nicht blau Wasser, sondern auch Kaviar.","Sprichwort"
CD,"Mit dem Wissen wächst der Zweifel.","J. W. von Goethe"
Cellophane,"Zellophan, Mr. Zellophan sollte ich heißen; Mr. Zellophan. Weil man durch mich durchsehen kann, durch mich durchgehen kann und gar nicht weiß, dass ich da bin.","Amos Hart, Chicago"
Cellphone,"Die Ehe ist wie ein Telefon: Wenn man nicht richtig gewahlt hat, ist man falsch verbunden.","Doris Day"
Cellphone,"Die Freunde, die man um vier Uhr morgens anrufen kann, die zahlen.","Marlene Dietrich"
Cellphone,"Ein gutes Gespräch ist ein Kompromiss zwischen Reden und Zuhören.","Friedrich Georg Jünger"
Cement,"Stein und Mörtel bauen ein Haus, Geist und Liebe schmücken es aus.","unbekannt"
Censored,"Das Sprichwort war von der Zensur weggelassen.",""
Censored,"Jäten ist Zensur an der Natur.","Oskar Kokoschka"
Censored,"Mensch: ein durch die Zensur gerutschter Affe.","Gabriel Laub"
Ceramics,"Gespalten Geschirr klappert.","Sprichwort"
Ceramics,"Möge dein Geschirr so zahlreich sein, daß du immer einen Teller für einen hungrigen Gast hast.","Irischer Segenswunsch"
Ceramics,"Zerbrochen Geschirr findet man überall.","Deutsches Sprichwort"
Chaos,"Auch das Chaos gruppiert sich um einen festen Punkt, sonst wäre es nicht einmal als Chaos da.","Arthur Schnitzler"
Chaos,"Auch ein perfektes Chaos ist etwas Vollkommenes.","Jean Genet"
Chaos,"Nur diejenige Verworrenheit ist ein Chaos, aus der eine Welt entspringen kann.","Friedrich Schlegel"
Chaos,"Nur kleine Geister halten Ordnung, Genies überblicken das Chaos.",""
Charity,"Die Gerechtigkeit hat den Vorrang vor der Wohltätigkeit.","Herbert Spencer"
Charity,"Wer baut, der gibt spende.","Deutsches Sprichwort"
Chastity,"Es ist leichter für die schöne Frauen, keusch zu sein, als für keusch zu gelten.","J. A. P. de Pompadour"
Chastity,"Sei fromm und keusch, iss wenig fleisch, trink niemal kalt, so wirst du alt.","J. Ch. Gottsched"
Cheerfulness,"Der Humor wirkt mächtiger im deutschen Publikum, als für bloße Lustigkeit.","Heinrich Laube"
Cheerfulness,"Wenn arbeiten ao lustig wäre, so thät's der Burgermeister selbst.","Deutsches Sprichwort"
Cheese,"Butter und Käse sind auf einen Tag geboren.","Deutsches Sprichwort"
Cheese,"Die Alten reden gern von altem Käse.","Sprichwort"
Cheese,"Eine Maus kann man nicht für den Käse verantwortlich machen.","unbekannt"
Cigarette,"Die Zigarette ist das vollendet Urbild des Genusses: sie ist köstlich und läßt uns unbefriedigt.","Oscar Wilde"
Claws,"Ohne Gelegenheit ist die Hand des Starken in Fesseln; nützet dem Löwen die Kraft, dem man die Klaue geraubt?","J. G. Herder"
Claws,"Vier Dinge ist niemals zu trauen: Pferdefüssen, Wolfzähnen, Spielerhänden und Katzenklauen.","Deutsches Sprichwort"
Claws,"Was der Geier einmel in seinen Klauen hat, das lässt er nicht los.","Sprichwort"
Clay,"Wenn zwei Personen eines Herzens sind, so verwandelt sich selbst Lehm in Gold.","Chinesisches Sprichwort"
Cliffs,"Armut ist eine Sandbank, Reichtum ein Felsen im Meer des Lebens.\nDie Glücklichen schiffen hindurch.","Ludwig Börne"
Clock,"Nimm dir Zeit, um glücklich zu sein!","unbekannt"
Clock,"Wer mit den schönen Frauen trinkt, der weiss nicht, was die Uhr pinkt.","Sprichwort"
Clothes_lost,"Kleider machen Leute,\nsagen die Leute,\ndie Kleider machen.","Daniel Spitzer"
Clothing,"Aus drei Dingen kann man sich ein Uhrteil machen: aus Kleidung, Gang und Lachen.","Lateinisches Sprichwort"
Clothing,"Herz paßt nicht zu moderner Kleidung, es macht alt.","Oscar Wilde"
Coal,"Der Böse ist eine Kohle, sie brennt oder schwärzt.","Sprichwort"
Coal,"Ein böser Mensch ist wie eine Kohle: er brennt oder schwätzt.","unbekannt"
Coconut,"Der Mann, den kein Hunger plagt,\nsagt von der Kokosnuß, daß sie eine harte Schale hat.","Sprichwort"
Coffee,"Der Kaffee muss schwarz sein wie der Teufel, heiß wie die Hölle, rein wie ein Engel und süß wie die Liebe.",""
Coffee,"Die Banane muß nicht den Kaffeebaum ersticken und der Kaffe nicht die Banane.","Afrikanisches Sprichwort"
Coffee,"Die Hoffnung ist wie Zucker im Kaffee: Auch wenn sie klein ist, versüßt sie alles.",""
Coffee,"Zorn und Kaffee muß man ganz heiß genießen.","aus der Türkei"
Commandments,"Das ist Mein Gebot: Liebet einander, so wie Ich euch geliebt habe.","Johannes, 15,12"
Commandments,"Man soll halten des Fürsten Gebot, wenn es nicht ist wider Gott.","Deutsches Sprichwort"
Commandments,"Wer mit Erlaubniss gegen gemein Gebot handelt, der bleibt ohne Strafe.","Sprichwort"
Compass,"Geht die Sonne auf im Westen,\nmusst du deinen Kompass testen.","Sprichwort"
Computer,"Das unsymppathische an Computern ist, dass sie nur ja oder nein sagen konnen, aber nicht vielleicht.","Brigitte Bardot"
Computer,"Der Computer ist die logische Weiterentwicklung des Menschen: Intelligenz ohne Moral.","John James Osborne"
Computer,"Die meisten Computer sind einsam.",""
Computer,"Irren ist menschlich, aber für ein totales Chaos braucht man einen Computer.","Dan Rather"
Computer mouse,"Die Maus (echte) ist aus dem Haus die andere kommt raus (Computer-maus).","unbekannt"
Concrete,"Zeig mir, wie du baust, und ich sage dir, wer du bist.","Christian Morgenstern"
Cone of cold,"Was gegen die Kälte nützt, auch vor der Hitze schützt.","aus Spanien"
Continence,"Es gibt eine Grenze, wo Zurückhaltung aufhört, eine Tugend zu sein.","Edmund Burke"
Cookies,"Eier in die Pfanne geben Kuchen, aber keine Küken.","unbekannt"
Cookies,"Faule Eier und stinkende Butter geben schlechte Kuchen.","Deutsches Sprichwort"
Cookies,"Wer kein Brot hat, wird auch wol von Kuchen satt.","Sprichwort"
Copyright,"Christus hat recht gehabt; aber ans Copyright hat er zu wenig gedacht.","Billy"
Copyright,"Ein Urheberrecht, ist wie ein Spriesling, das die Pflanze vom Samen trennt.","Michael Josef Sommer"
Copyright,"Heutzutage ist nicht mehr sicher, was mehr Einfluß hat: das Copyright oder die Kopiermaschine.","Pavel Kosorin"
Corpse,"Bei jeder Geburt wird eine Leiche angesagt.",""
Corpse,"Den Alten macht Hunger zur Leiche, den Jungen die Seuche.","Deutsches Sprichwort"
Corpse,"Eines Tages schwimmt die Wahrheit doch nach oben. Als Wasserleiche.","Wieslaw Brudzinski"
Corpse,"Wenn du lange genug am Fluß sitzt, siehst du irgendwann die Leiche deines Feindes vorbeischwimmen.","Chinesisches Sprichwort"
Crayons,"Sagt ein großer Stift zum kleinen Stift : wachs mal Stift.","unbekannt"
Credit card,"Ein auf Kredit gekauftes Schwein grunzt das ganze Jahr.","unbekannt"
Crocodile,"Ein Beschwichtiger ist jemand, der ein Krokodil in der Hoffnung füttert, dass es ihn zuletzt frisst.","Sir Winston Churchill"
Crossbow,"Das Argument gleicht dem Schuß einer Armbrust — es ist gleichermaßen wirksam, ob ein Riese oder ein Zwerg geschossen hat.","Francis Bacon"
Crossbow,"Wer vier Dinge nicht wohl kann, der soll sie unterwegs lan: Büchsen schiessen, Glocken giessen, Teufel bannen und Armbrust spannen.","Deutsches Sprichwort"
Crossword,"Der Optimist ist ein Mann, der Kreuzworträtsel sofort mit dem Kugelschreiber ausfüllt.","Karl Farkas"
Crystall ball present,"Rein wie das feinste Gold, fest wie ein Felsenstein, ganz lauter wie Kristall soll dein Gemüte sein.","Angelius Silesius"
Cyborg,"Alle Dinge will Gott lebendig machen! O Freude! Welche Aussicht, welche Hoffnung!","Johann Kaspar Lavater"
Cyborg,"Da die Maschinen immer mehr wie die Menschen werden, wird es mit den Menschen dahin kommen, daß sie immer mehr wie die Maschinen werden.",""
Cyborg,"Hasta la vista, baby!","Terminator 2"
Cyborg,"Wir werden den Maschinen die Wahrheit sagen müssen: die Wahrheit über uns selbst.",""
Darkness,"Die Finsternis verbirgt den Schmutz nicht.",""
Darkness,"Dunkelheit ist das Reich des Irrtums.",""
Darkness,"Es ist besser, das winzigste Lämpchen zu entzünden, als sich über Dunkelheit zu beklagen.","Konfuzius"
Darkness,"In der Dunkelheit bemerkt man den höchsten Thurm nicht.","Sprichwort"
Dead dragon,"Selbst ein Drache nimmt nur einen Weg, den er kennt.","Chinesisches Sprichwort"
Death,"Das, was dem Leben Sinn verleiht, gibt auch dem Tod Sinn.","A. de Saint-Exupery"
Death,"Ein Alter, der ein jung Weib nimmt, ladet den Tod zu Gaste.","Französisches Sprichwort"
Death,"Gewisse Ausgabe und ungewisse Einnehme sind Haushaltung Tod.","Deutsches Sprichwort"
Death,"In dieser Welt gibt es nichts Sichereres als den Tod und die Steuern.","Benjamin Franklin"
Death,"Nicht den Tod sollte man fürchten, sondern dass man nie beginnen wird, zu leben.","Marcus Aurelius"
Death,"Viele Menschen würden eher sterben als denken. Und in der Tat: Sie tun es","Bertrand Russell"
Death metal,"So schrei es in Angst heraus, Death Metal ist auf den Weg gebracht.","Possessed"
Death star present,"Das ist kein Mond — das ist eien Raumstation.","Obi-Wan Kenobi"
Debt,"Eines Edelmanns Wort ist eine feste Schuld.","Sprichwort"
Debt,"Gott, vergib mir meine Schuld, meine Gläubiger weigern sich.","unbekannt"
Demigod,"Wer Gott zum Freunde hat, dem schadet keine Kreatur.","Deutsches Sprichwort"
Demon,"Die Einkommensteuer hat mehr Menschen zu Lügnern gemacht als der Teufel.","William Rogers"
Demon,"Nicht jeder Dämon geht in die Glasflasche.","J. L. Burkhardt"
Demon,"Phantasie ist unser guter Genius oder unser Dämon.","Immanuel Kant"
Demon,"Unruhe ist der ärgste Dämon im Leben.","Berthold Auerbach"
Demon,"Zu Gott hinken die Leute, zum Teufel laufen sie.",""
Desert,"Die Frauen sind die Kamele, mit deren Hilfe die Männer die Wüste des Lebens durchqueren.","David Ben Gurion"
Desert,"Wenn ich etwas an Christus verstehe, so ist es das: ""Und er entwich vor ihnen in die Wüste.""","Christian Morgenstern"
Diet,"Die Diäta ist die beste Apoteck.","Deutsches Sprichwort"
Diet,"Drei Zehntel heilt Medizin, sieben Zehntel heilt Diät.","Chinesisches Sprichwort"
Digital camera,"Besonders gefallen hat den Testern der sehr gute Videomodus, dessen Bildqualität für eine Digitalkamera ohne Tadel ist.","unbekannt"
Digital clock,"Was nützt die beste Digitaluhr, wenn man nicht merkt, wie schnell die Zeit vergeht.","Dr. Rolf Handke"
Digital photography,"Digitalfotografie ermöglicht uns nicht nur, Erinnerungen festzuhalten, sondern auch, welche zu kreieren.","James Wayner"
Diligence,"Besser Fleiß und Kunst als Fürwort und Gunst.","Sprichwort"
Diligence,"Der Fleiß hämmert das Eisen heiß.","Deutsches Sprichwort"
Diligence,"Für den Fleißigen hat man die Woche sieben Heute, für den Faulen sieben Morgen.","Deutsches Sprichwort"
Dinosaur,"Alles, was gigantische Formen annimmt, kann imponieren — auch die Dummheit.","Erich Kästner"
Discipline,"Ich glaube an die Disziplin des Schweigens und könnte stundenlang darüber sprechen.","George Bernard Shaw"
