3D holography,"Noi potremmo essere l'immagine olografica di una struttura a due dimensioni.","Brian Greene"
Airplane,"L'aeroplano ci ha svelato il vero volto della terra.","A. de Saint-Exupéry"
Airplane,"Scusatemi, mentre bacio il cielo!","Jimi Hendrix"
Airplane,"Vola solo chi osa farlo.","Luis Sepúlveda"
AK-47,"Chi ha detto che la penna ferisce più della spada ovviamente non si è mai trovato di fronte un'arma automatica.","Douglas MacArthur"
AK-47,"Come disse mio padre prima di uccidere mia madre... se vuoi un lavoro ben fatto, fallo da solo.","""Blade-2"" (film)"
AK-47,"Se un giocatore della Juve dà un calcio nella gola di un avversario e lo colpisce alla testa con un kalashnikov Mughini dice che è rigore per la Juve.","Claudio Amendola"
AK-47,"Un amico mi disse una volta ""Prima spara e poi fai domande"". Gli stavo per chiedere perche', ma gli ho dovuto prima sparare.","John Wayne"
Alcoholic,"Alcol: sostanza che uccide chi è vivo e conserva chi è morto.","Michel Zamacoïs"
Alcoholic,"All'alcol! La causa di e la soluzione a tutti i problemi della vita!","Homer Simpson"
Alcoholic,"L'alcolismo mina l'uomo. Lo rende inabile a vivere coscientemente la propria vita.","Jack London"
Alien,"""So che hai già avuto a che fare con questi alieni in passato già! E...come hai risolto?"" \n- ""Sono morta.""","""Alien"" (film)"
Alien,"Nello spazio nessuno può sentirti gridare.","Alien (film)"
Alien,"Quando un forestiero viene al Sud piange due volte: quando arriva e quando parte.","Mattia Volpe"
Altruism,"Arduo essere buono.","Pittaco"
Altruism,"Credo alla tua saggezza solo se viene dal cuore, credo alla tua bontà solo se viene dalla ragione.","Arthur Schnitzler"
Altruism,"Nelle cose altrui bisogna andar ribadati più che nelle proprie.","Proverbio"
Android,"Congratulazioni! Hai creato una nuova versione di Android!",""
Angel,"Gli angeli sono sempre rilucenti anche se il più rilucente fra loro è caduto.","W. Shakespeare"
Angel,"La filosofia mozzerà le ali di un angelo.","John Keats"
Angel,"Le ali degli angeli raffreddano i poeti.","Alda Merini"
Angel,"L'uomo è una scimmia, oppure un angelo. Ora sono dalla parte degli angeli.","B. Disraeli"
Angel,"Non sono un angelo e non pretendo di esserlo.","Maria Callas"
Animal,"A forza di sterminare animali, si capì che anche sopprimere l'uomo non richiedeva un grande sforzo.","Erasmo da Rotterdam"
Animal,"La compassione e l'empatia per il più piccolo degli animali è una delle più nobili virtù che un uomo possa ricevere in dono.","Charles Darwin"
Animal,"Non solo gli uomini, ma anche gli animali nella vecchiaia diventano più buoni.","Lev Tolstoj"
Ant,"Da bambino volevo un cane. Ma i miei erano poveri. Così mi comprarono una formica.","Woody Allen"
Ant,"Le formiche parlano di sfortuna soltanto quando le loro compagne vengono schiacciate da un tacco a spillo.","Gene Gnocchi"
Ant,"Secondo una statistica dell'Istituto Italiano per le Ricerche sulla Formica (IIRF) il novantanove virgola nove per cento della popolazione non prova nessun rimorso dopo aver pestato una formica.","Gene Gnocchi"
Antibiotics,"Attenti al medico che ha un rimedio per tutto.","Arthur Bloch"
Antibiotics,"I comici italiani fanno un po' l'effetto degli antibiotici...","Sergio Saviane"
Antibiotics,"Ricordati che il miglior medico è la natura: guarisce i due terzi delle malattie e non parla male dei colleghi.","Galeno"
Apple,"...e a bere sidro di mele fresco, aspro e pungente nelle loro bocche.","N. Gaiman"
Apple,"Ah, la mela stregata!","Biancaneve"
Apple,"Il Macintosh è più di un computer. È uno stile di vita.","Steve Wozniak"
Apple,"La società non è la mela di Biancaneve: metà marcia e metà sana. I ceti medi hanno le loro colpe ma anche i loro meriti.","R.Gervazo"
Apple,"Mi sento come un verme senza mela.","Si fa presto a dire amore, film"
Apple,"Bella che così fiera vai, non lo rimpiangerai: cogli la prima mela!","Angelo Branduardi"
Aqualung,"Per la respirazione subacquea, il pilota indossa un autorespiratore alimenta da bombole di ossigeno puro ad alta pressione che assicurano un'autonomia di circa sei ore.","Junio Valerio Borghese"
Arable,"Dovendo arare un campo, preferiresti utilizzare due forti buoi o 1024 polli?","Seymour Roger Cray"
Arable,"È strano, ma vogliono arare la terra, e sono malati di avidità.","Toro Seduto"
Arable,"La mano per scrivere vale la mano per arare.","A.Rembaud"
Armor,"Il cavaliere era interamente vestito di nero, e nero era il suo alto elmo...","J.R.R.Tolkien"
Armor,"Iniziai a progettare regole per cui una miniatura in plastica era armata con quello che indossava.","Gary Gigax"
Armor,"La forza è uno scudo d'argento, il valore una spada d'oro.","Proverbio"
Armor,"La mia armatura è il disprezzo.","WH40000, Space Marine"
Armor,"Se vuoi la magia, togliti l'armatura! La magia è molto più forte dell'acciaio!","Richard Bach"
Armor,"Trovo più comodo portare per tutta la vita una corazza, piuttosto che la verginità.","Michel de Montaigne"
Artificial heart,"Il termine ""cuore artificiale"" è spesso utilizzato impropriamente per descrivere un'assistente meccanico cardiaco o (VAD), il quale è solo una pompa che aiuta il cuore ma non lo sostituisce.","Wikipedia"
Ash,"Chi combatte il fuoco col fuoco di solito finisce in cenere.","Jeanne Philips"
Ash,"Coppiere, ancora una bottiglia!\nPer lei alzo il bicchiere!\nSe troverà un mucchietto di cenere\nDirà: «Per me si è consumato».","Goethe"
Ash,"Ho creduto spento il mio focolare,\ne ho attizzato la cenere....\nMi son bruciato la mano.","Antonio Machado"
Ash,"Il fuoco che sembra spento spesso dorme sotto la cenere.","Pierre Corneille"
Ash,"Il lunedì bruciamo Lucrezio, il martedì Molière, mercoledì Machiavelli, giovedì Goldoni, venerdì Voltaire, il sabato Sartre e la domenica Dante.","""Fahrenheit 451"" (film)"
Ash_lost,"Cenere alla cenere\npolvere alla polvere.","Proverbio"
Assassin,"Il vero guaio della guerra moderna è che non dà a nessuno l'opportunità di uccidere la gente giusta.","Ezra Pound"
Assassin,"Se l'uccisore crede di uccidere, se l'ucciso crede di essere ucciso, né l'uno né l'altro hanno la conoscenza vera: in realtà non vi è né uccisore né ucciso.","Kaṭha Upaniṣad"
Assassin,"Un killer è un individuo che nei suoi incontri prova un maggiore coinvolgimento rispetto ai comuni mortali.","Amélie Nothomb"
Assembly line,"L'oppressione della catena di montaggio si fa sentire anche in famiglia.","Carmelo Bene"
Assistance,"Aiuta te stesso.","F.Nietzsche"
Assistance,"Io dovevo ispirare il bene, non la follia, la morte.","Batman"
Astral,"Colui che non sa distinguere la differenza fra il Sé e il suo corpo pensa di essere solo un corpo, e così non capisce che la vita del Sé continua in differenti corpi","Bhāgavata Purāṇa"
Astral,"La nostra vita umana non è così importante come la nostra vita astrale.","Paul Scheerbart"
Astral,"Solo su corpi astrali incredibilmente rari — i pianeti – possono esistere gli elementi a noi familiari e le loro combinazioni; in casi ancora più rari possono dare origine a quel fenomeno chiamato vita.","A.Clarke"
Astronaut,"Con occhi grandi come il mare, incrostati dai reumi e dalla polvere di asteroidi, fissa la Destinazione.","T.Pratchett"
Astronaut,"Un uomo di genio non commette errori: i suoi sbagli sono l'anticamera della scoperta.","James Joyce"
ATM,"Han visto Cecchi Gori davanti a un bancomat, sta cercando di ipnotizzarlo.","Gene Gnocchi"
Audio cassette,"Ho conservato la musicassetta, ma non ho ancora trovato la forza per ascoltarla di nuovo.","Stanislaw Dziwisz"
Axe,"Alla pena di morte si può sostituire come cerimonia compensatrice finalmente incruenta la maledizione pubblica.","Guido Ceronetti"
Axe,"Com'è che ti volevano tagliare la testa? Di solito da queste parti ti terminano e basta.","Johnny Mnemonic"
Axe,"L'albero d'ulivo pretende cinque cose: largo, pietra, letame, ascia e sole.","Proverbio pugliese"
Axe_lost,"Gli ultimi sviluppi scientifici sono conseguenza delle crudeltà dell'età della pietra.","Winston Churchill"
B52,"A me piace il vino, qualunque vino.","Rosamond Lehmann"
B52,"È ora di ubriacarsi!","Charles Baudelaire"
B52,"Non bevevo mai prima di aver eseguito il mio compito giornaliero. A lavoro finito, i cocktail alzavano quasi un muro divisorio fra le ore di lavoro e quelle di divertimento.","Jack London"
Bacteria,"Chi non sente il suo male è tanto più malato.","Pierre Corneille"
Bacteria,"Il loro numero è legione, il loro nome è morte.","WH40K"
Bacteria,"Oh, un raffreddore, un misero raffreddore! Perché non ti trovi una vera donna, figlio mio, con qualcosa di decente... come una mononucleosi o i calcoli biliari...","La piccola bottega degli orrori (film)"
Band-aid,"Ci sono due tipi di cerotti: quelli che non attaccano e quelli che non vengono più via.","Arthur Bloch"
Bank,"Bei tempi quando le banche erano come le chiese, tutti zitti e al loro posto.","Vittorio Feltri"
Bank,"Cos'è rapinare una banca al paragone di fondarne una?","Bertold Brecht"
Bank,"Una banca è un posto che ti presta dei soldi, se tu puoi dimostrare che non ne hai bisogno.","Bob Hope"
Bar code,"La vita è un codice a barre: incomprensibile all'uomo.","Sconosciuto"
Bard,"È l'ascoltatore che deve piangere, non la musica.","Yuri Temirkanov"
Bard,"Il cantante deve convincere delle sue tesi. Contrariamente al filosofo, però, lui può farlo senza argomenti.","Manlio Sgalambro"
Bard,"Il segreto del canto risiede tra la vibrazione della voce di chi canta ed il battito del cuore di chi ascolta.","Kahlil Gibran"
Bastet,"La dea della gioia, della felicità, dell’amore, della bellezza femminile, della fertilità, della casa e del focolare, raffigurata come un gatto o una donna con testa di gatto.",""
Bazooka,"Il bazooka è il passepartout dell'impaziente.","Will Timmins"
Bazooka,"Le armi sono come i soldi; nessuno ne ha mai abbastanza.","Martin Amis"
Beach,"La notte gli squali si avvicinavano alla spiaggia, cacciando al margine della corrente",""
Beer,"Basta una birra a colazione e le ragnatele se ne vanno, la voce ti si alza di due ottave e ti sorge un bel sole dentro.","Robert De Niro"
Beer,"La birra è la prova che Dio ci ama e vuole che siamo felici.","Benjamin Franklin"
Beer,"Un Paese è veramente un Paese quando ha una compagnia aerea e una birra.","Frank Zappa"
Beer present,"Basta una birra a colazione e le ragnatele se ne vanno, la voce ti si alza di due ottave e ti sorge un bel sole dentro.","Robert De Niro"
Beer present,"La birra è la prova che Dio ci ama e vuole che siamo felici.","Benjamin Franklin"
Beer present,"Un Paese è veramente un Paese quando ha una compagnia aerea e una birra.","Frank Zappa"
Beetle,"Agente K: L'unico scarafaggio buono... Agente J: È uno scarafaggio morto!","Men in Black (film)"
Beetle,"Una mattina Gregorio Samsa, destandosi da sogni inquieti, si trovò mutato, nel suo letto, in un insetto mostruoso.","F.Kafka"
Berries,"Oh, bacche! Che magnifico regalo!","The Village"
Big bang theory,"Gli scienziati chiamano questo evento Big Bang, anche se in realtà non ci fu nessun grosso bang perché accadde in ogni luogo e tutto in una volta.","John Connolly"
Bikini,"L'atollo più famoso del mondo.","Sconosciuto"
Bird,"Alla zampa di ogni uccello che vola è legato il filo dell'infinito.","Victor Hugo"
Bird,"E entrò nel campo e cominciò a predicare alli uccelli ch'erano in terra...","I fioretti di San Francesco (Anonimo)"
Bird,"Quando un pettirosso finisce in gabbia, si indispettisce il cielo.","Red dragon (film)"
Birth,"La nostra nascita non è altro che l'inizio della nostra morte.","Edward Young"
Birth,"Noi nasciamo due volte, per così dire: nasciamo all'esistenza ed alla vita; nasciamo come esseri umani e come uomini.","Jean Jacques Rousseau"
Birth,"Non bisogna star a guardare dove uno è nato, ma come egli è costumato, né si deve considerare in quale frontiera ma in quale maniera uno ha iniziato la sua vita.","Apuleio"
Black box,"La scatola nera, come si dice, anche se è arancione.","Chuck Palahniuk"
Black sail,"È questo che è una nave, sai. Non è una chiglia e uno scafo e un ponte e delle vele. Questo è ciò che serve a una nave. Ma cos'è una nave? Quello che la Perla Nera è... è libertà.","Capitano Jack Sparrow"
Blood,"Il sangue dei martiri è il seme della Chiesa.","Tertulliano"
Blood,"Il sangue è la vita... e sarà mio!","Dracula di Bram Stoker"
Blood,"Quando non ho più blu, metto del rosso.","Pablo Picasso"
Blood,"Sono in grado di capire il carattere di un uomo dal battito del suo cuore.","""Van Hellsing"" (film)"
Blood,"Tutta l'acqua dei fiumi non potrebbe lavare la mano insanguinata di un omicida.","Eschilo"
Boat,"Le gondole di casate e le gondole pubbliche erano più migliaia nel 700.","A.Panzini"
Boat,"Non ha Venezia tanti gondolieri quanti Vicenza conti e cavalieri.",""
Boat,"Non sono in Arno tanti pesciolini, quanti in Venezia gondole e camini.",""
Boiler,"Cara accanto a te mi sento bollire, se mi metti un uovo in mano lo faccio alla cocca.","Letto a tre piazze (film)"
Boiler,"Peggio di una donna che sa cucinare e non cucina è quella che non sa cucinare, ma cucina lo stesso.","Anonimo"
Bones,"Vorrei essere un'iena, addentrarmi nei sepolcri e pascermi delle ossa dei morti.","Iginio Ugo Tarchetti"
Book,"Il mio libro è poesia; e se non è, lo diverrà.","H.Ibsen"
Book,"Non esiste l'""inglese della regina"". La proprietà è caduta nelle mani di una società per azioni, e siamo noi ad avere il pacchetto di maggioranza!",""
Book,"Non esistono libri morali o immorali come la maggioranza crede. I libri sono scritti bene, o scritti male. Questo è tutto.","O.Wilde"
Book,"Per uno scrittore creativo, possedere la verità è meno importante di una sincerità emozionale.","George Orwell"
Book,"Una stanza senza libri è come un corpo senz'anima.","Cicerone"
Bow,"Chi può dire se sia la corda a piegare l'arco o l'arco a tendere la corda?","C.Connoly"
Bow,"Il principe potente e tre volte beato, Federico, Bagliore di fuoco, la meraviglia del mondo, il cui arco è di bronzo e il cui dardo è folgore, che brucia da parte a parte i nemici...","Giorgio di Gallipoli"
Bow,"La mia mano traccia un arco di perfetta bellezza e colpisce La Fine di Tutte le Cose.","Shadow Man (videogiocco)"
Bow_lost,"Caccia, pesca, disegno e musica hanno occupato ogni mio istante. Non avevo preoccupazioni, e non me ne preoccupavo.","John Audubon"
Bra,"Il reggiseno mi opprime. Non vedo l'ora di togliermelo.","Serena Grandi"
Brains present,"Il bronzo è lo specchio del volto, il vino quello della mente.","Eschilo"
Brains present,"La mente è come un paracadute: funziona solo quando è aperta.",""
Brains present,"La mente non è il cervello, la mente è il sistema del corpo che pensa.","Mauro Covacich"
Bread,"Chi semina buon grano, ha poi buon pane.","Proverbio italiano"
Bread,"Con il sudore del tuo volto mangerai il pane.","Genesi"
Bread,"Quando gli uomini condividono il pane condividono la loro amicizia.","Jean Cardonnel"
Bricks,"Esplosivo Pangalattico si ha l'impressione che il cervello venga spappolato da una fetta di limone legata intorno a un grosso mattone d'oro.","D.Adams"
Bricks,"Pesa di piu un kilo di mattoni o un kilo di piume?","Yahoo!Answers"
Bricks,"Tutto sommato è solo un altro mattone nel muro, tutto sommato siete solo un altro mattone nel muro...","Pink Floyd"
Bricks_lost,"Ho trovato Roma una città di mattoni, e l'ho trasformata in una città di marmo.","Cesare Augusto"
Bubble gum,"La televisione è chewing-gum per gli occhi.","Frank Lloyd Wright"
Bushes,"Resta immobile. Gli alberi davanti a te ed i cespugli dietro di te non sono perduti.","Albert Einstein"
Butterfly,"Le farfalle volteggiano nel fitto dei fenomeni, nella cui ombra la pantera sogna.","Ernst Jünger"
Butterfly,"Schiacciamo le larve ma amiamo le farfalle: una farfalla questo non lo dimentica.","Aldo Busi"
Calm,"Una nave non naviga con il vento di ieri.","Proverbio"
Calmness,"La calma sconcerta la collera.","Van der Meersh"
Calmness,"Silenzio!","Mulholland Dr. (film)"
Canvas,"Tu sei la tela irreale nella quale erro, a colori, la mia arte.","Fernando Pessoa"
Car,"Di qual genere è automobile? Se ne è disputato in Francia, madre dell'automobilismo, quindi anche in Italia. Ieri prevaleva il maschile, oggi il femminile.","A.Panzini"
Car,"L'automobile è diventata un articolo di vestiario senza il quale ci sentiamo nudi, incerti e incompleti.","Marshall McLuhan"
Car,"L'Automobile è femminile. Questa ha la grazia, la snellezza, la vivacità di una seduttrice; ha inoltre una virtù ignota alle donne: la perfetta obbedienza.","G. D' Annunzio"
Car,"Ritengo che le automobili oggi siano tutt'al più l'equivalente delle grandi cattedrali gotiche: le considero la suprema creazione di un'epoca.","Roland Barthes"
Car,"Un automobile ruggente, che sembra correre sulla mitraglia, è più bello della Vittoria di Samotracia.","F.T.Marinetti"
Carcass,"È per noi carne, bevanda, e veste.","Francois Rabelais"
Cart,"Per questo io vivo quasi sempre in casa, e non esco che in gondola o in carrozza.","A.Vivaldi"
Castle,"Ancora più volatili dei castelli di carte, sono le case costruite con le carte di credito.","A.Majewski"
Castle,"Io chiamo l'architettura musica congelata.","Goethe"
Castle,"La fantasia non fa castelli in aria, ma trasforma le baracche in castelli in aria.","Karl Kraus"
Cat,"Di notte tutti i gatti diventano leopardi.","Proverbio navajo"
Cat,"Fu chiaro fin dall'inizio che ogniqualvolta c'era un lavoro da fare, il gatto si rendeva irreperibile.","George Orwell"
Cat,"Jon: I gatti fanno strane cose. Garfield: Strano... I gatti fanno cose?","Garfield (fumetto)"
Cat_egypt,"Fu chiaro fin dall'inizio che ogni qualvolta c'era un lavoro da fare, il gatto si rendeva irreperibile.","George Orwell"
Cat_egypt,"I gatti, come categoria, non hanno mai completamente superato il complesso di superiorità dovuto al fatto che, nell'antico Egitto, erano adorati come dei.","Pelham Grenville Wodehouse"
Cave,"C'è sempre un motivo, se il vento sgorga da una caverna vuota","Proverbio cinese"
Cave,"Da una polla nascosta nella grotta scaturisce la prima acqua del fiume.","Giuseppe Fanciulli"
Caviar,"La vodka è un lusso che ci possiamo concedere, il caviale è un lusso che ci possiamo concedere, il tempo non lo è.","Khrushchev"
Caviar,"L'anatra alla pechinese è diversa dal caviale russo, ma mi piacciono entrambi.","Agente 007"
Caviar,"Lo spirito dovrebbe essere una prelibatezza rara come il caviale: non spargerlo mai come la marmellata.","Noël Coward"
CD,"Ho fatto due CD, il primo era normale, il secondo era già ""il meglio di..."".","D.Vergassola"
CD,"Ho fatto un cd brutto ma io sono bello.","V.Rossi"
CD,"Se devo scegliere tra un concerto dal vivo o l'ascolto di un cd preferisco il concerto, è ovvio.","D.Barenboim"
Cellophane,"Il cellofan è una applicazione moderna per una tecnica che ha avuto origine durante l'Inquisizione spagnola.","Tom Malinowski"
Cellphone,"Come sarebbe stata diversa la storia di Romeo e Giulietta se avessero avuto un telefono!","Isabel Allende"
Cellphone,"Fine della privacy. Sappiamo tutto di tutti.","Dino Risi"
Cellphone,"Il telefonino sta diventando un'espansione della nostra memoria: conserva ricordi, numeri, appuntamenti, immagini.","Marco Pratellesi"
Cellphone,"Il telefonino, con la sua litania «Io sono qui, tu dove sei?», è lo strumento tipico di una «comunicazione narcisista».","Willy Pasini"
Cellphone,"Un essere metafisico in genere non si mette in contatto con noi per telefono.","Carl Gustav Jung"
Cement,"Fino a quando non avrai veramente accettato i tuoi limiti, non potrai costruire nulla di solido.","M.Quoist"
Cement,"La Costruzione è per tener su: l'Architettura è per commuovere.","Le Corbusier"
Cement,"L'architettura non è un'arte, poiché qualsiasi cosa serva a uno scopo va esclusa dalla sfera dell'arte.","Adolf Loos"
Censored,"È con i cattivi sentimenti che si fanno i buoni romanzi.","Aldos Huxley"
Censored,"Il film è mio e ci metto tutti i conigli che voglio.","D.Lynch"
Censored,"Un editore è qualcuno che separa il grano dalla pula e poi stampa la pula.","Adlai Ewing Stevenson I"
Ceramics,"Il fiume più copioso non può aggiungere una goccia di acqua ad un vaso già pieno.","L.Tolstoj"
Ceramics,"Vasa inania multum strepunt (i vasi vuoti fanno un gran rumore).","Proverbio medievale"
Chaos,"Ben venga il caos, perché l'ordine non ha funzionato.","K.Kraus"
Chaos,"Io accetto il caos, ma non son sicuro che lui accetti me.","Bob Dylan"
Chaos,"La verità si ritrova sempre nella semplicità, mai nella confusione.","Isaac Asimov"
Chaos,"L'orrore. L'orrore. Lo abbraccio...","Shadow Man (videogiocco)"
Chaos,"Se si sa esattamente che cosa si farà, perché farlo?","Pablo Picasso"
Charity,"Confesso che nella parola beneficenza non trovo più la sua primitiva bellezza; è stata sciupata dai farisei che l'hanno troppo usata.","Anatole France"
Charity,"La beneficenza appaga in primo luogo lo stesso benefattore.","Joseph Roth"
Charity,"La carità crea una moltitudine di vizi","Oscar Wilde"
Chastity,"La castità è una ricchezza che viene da abbondanza d'amore, non da mancanza di esso.","R.Tagore"
Chastity,"La castità fa gli angeli, e chi la conserva è un angelo.","Sant'Agostino d'Ippona"
Chastity,"La castità perpetua la giovinezza. Nei volti stanchi e scavati di alcuni preti ho visto occhi di adolescente.","François Mauriac"
Cheerfulness,"Amici si nasce, non si diventa.","H.Adams"
Cheerfulness,"Bisogna beneficare l'amico perché diventi più amico, il nemico perché diventi amico: dobbiamo infatti evitare il rimprovero degli amici, l'insidia dei nemici.","Cleobulo"
Cheerfulness,"I veri amici sono rari perché la domanda è minima.","M. von Ebner-Eschenbach"
Cheese,"Come si può governare un paese che ha duecentoquarantasei varietà differenti di formaggio?","Ch. de Gaulle"
Cheese,"Formaggio. Forma di latte per l'adulto.","Richard Condon"
Cheese,"Questa lezione val bene un pezzo di formaggio.","La Fontaine"
Cigarette,"La vita senza fumo è come il fumo senza l'arrosto.","Cesare Pavese"
Cigarette,"Niente è uguale al tabacco; è la passione della gente a modo e chi vive senza tabacco non è degno di vivere.","Molière"
Cigarette,"Noi non vendiamo TicTac, vendiamo sigarette. Sono fiche, disponibili e danno assuefazione. Il lavoro è praticamente già fatto.","Thank You for Smoking (flm)"
Claws,"Ex ungue leonem (il leone [si riconosce] dalle unghie).","Locuzione latina"
Claws,"Tre rosse: labbra, guance, unghie.","Pierre de Bourdeille"
Clay,"La creta bella non esiste; la creta è fango, è sporca. Così le parole.","Massimo Bontempelli"
Clay,"Legno? Feltro? Porcellana? Non c'era modo di capirlo.","B.Aldiss"
Cliffs,"Lasciati andare da un precipizio, muori completamente, e quindi torna alla vita; dopo ciò non potrai più essere ingannato","Proverbio zen"
Clock,"Anche un orologio fermo segna l'ora giusta due volte al giorno.","Herman Hesse"
Clock,"C'è solo un modo di dimenticare il tempo: impiegarlo.","Charles Baudelaire"
Clock,"Le lancette dell'orologio non possono tornare indietro. Però, è possibile forzarle in avanti con le proprie mani.","Evangelion (anime)"
Clothes_lost,"Pensando a ciò, cominciai a considerare di mettere i pochi stracci che avevo, che chiamavo vestiti, in ordine","Robinson Crusoe"
Clothing,"Diffida di ogni impresa che richieda abiti nuovi.","E.M.Forster"
Clothing,"Il pudore inventò il vestito per maggiormente godere la nudità.","Carlo Dossi"
Clothing,"La Donna non pone tanto studio nel vestirsi se non perché l'uomo viemeglio desideri di vederla spogliata.","F.Algarotti"
Coal,"Anche i carboni, quando sono accesi, brillano come stelle.","Callimaco"
Coal,"Non siam noi que' tali da lasciarsi mettere su le spalle il carbone.","W.Shakespeare"
Coconut,"Non da ogni palma della vittoria nascono noci di cocco.","Stanislaw J. Lec"
Coffee,"A riempire una stanza basta una caffettiera sul fuoco.","Erri De Luca"
Coffee,"Ho misurato la mia vita a cucchiaini di caffè.","T.Eliot"
Coffee,"Il caffè era solo un modo per rubare del tempo che sarebbe appartenuto di diritto al te stesso leggermente più vecchio.","Terry Pratchett"
Coffee,"Nero come l'inferno, forte come la morte, dolce come l'amore.","Proverbio turco"
Commandments,"Quelli che ubbidiscono sono per lo più la copia perfetta di quelli che comandano.","Robert Walser"
Commandments,"Saper comandare a se stessi è la prima condizione per poter comandare agli altri.","José Ortega y Gasset"
Compass,"Vagabondare senza mira per la vita in uno stato simile alla felicità è come usare una bussola senza ago","Tom Baker"
Computer,"Da quando esiste Photoshop non siamo più disposti a concedere alla fotografia lo status di rappresentazione oggettiva della realtà.","Marco Pratellesi"
Computer,"I computer sono inutili, possono dare solo risposte.","P.Picasso"
Computer,"Il computer non è una macchina intelligente che aiuta le persone stupide, anzi è una macchina stupida che funziona solo nelle mani delle persone intelligenti.","Umberto Eco"
Computer,"La disumanità del computer sta nel fatto che, una volta programmato e messo in funzione, si comporta in maniera perfettamente onesta.","I.Asimov"
Computer,"Non ho paura dei computer, ma della loro eventuale mancanza.","Isaac Asimov"
Computer mouse,"L'osso può essere... della stessa dimensione del mouse di un computer, se è il pezzo di osso giusto.","Dennis Van Gerven"
Concrete,"Io non fotografo io prendo. Prendo tutto ciò che c' è da prendere. L'omino, la signora, il cane, il bambino, anche le betoniere.","François Marie Banier"
Concrete,"Ogni architettura è grande dopo il tramonto: forse l'architettura è veramente un'arte notturna, come quella dei fuochi artificiali.","G.K.Chesterton"
Cone of cold,"In genere quel tipo di manifestazione non si ha nel frigorifero di marca.","Acchiappafantasmi (flm)"
Cone of cold,"In questo universo una sola cosa è assoluta... Tutto il resto è ghiaccio.","Mr.Freeze (Batman&Robin)"
Cone of cold,"La pistola era un freddo pezzo di metallo nella mia mano, perforava la pelle e rosicchiava l'osso.","Max Payne (videogiocco)"
Continence,"Dammi, ti dissi, la castità e la continenza, ma non ora.","Agostino d'Ippona"
Continence,"La libertà sessuale è necessaria alla creazione? Sì. No. O forse sì. No, no, certamente no. Però... sì. No è meglio no. O sì? Ah, incontinenza meravigliosa!","P.P.Pasolini"
Continence,"La verginità è sorella degli angeli","Émile Zola"
Cookies,"Cerca di pensare che la vita è una scatola di biscotti.","H.Murakami"
Cookies,"Passate al lato oscuro. Noi abbiamo i biscotti!",":)"
Copyright,"Il software è come il sesso, è meglio quando è libero.","Linus Torvalds"
Copyright,"Il suolo del copyright è ormai improduttivo, è tempo di ruotare le colture.","Wu Ming"
Corpse,"""Alfred, ma sei morto da quindici anni!"" - ""Francamente me ne infischio.""","""La sposa cadavere"" (film d'animazione)"
Corpse,"Anche se facessi Cenerentola, il pubblico cercherebbe qualche cadavere nella carrozza.","A.Hitchcock"
Corpse,"Avrete sempre dei grossi problemi a sollevare un cadavere tutto intero. A quanto pare la cosa migliore da fare è tagliare il cadavere, dividerlo in sei pezzi e poi fare un bel mucchio...","Lo strappo (film)"
