3D holography,"Yo juego en un mundo de tres dimensiones, mientras que los demás se han quedado en un medio con solo dos.","Bill Gates"
Bard,"El que se encadena a una alegría, destruye una vida libre; pero el que besa la alegría en su vuelo, vive el amanecer de la eternidad.","W.Blake"
Bard,"No necesito bardos. Un arpa no le devolverá la vida a mi compañero.","Lloyd Alexander"
Bastet,"La diosa de la alegría, la felicidad, el amor, la belleza femenina, la fertilidad, la casa y el hogar; se representaba como un gato o como una mujer con cabeza de gato.",""
Bazooka,"Me resultas familiar... ¿te he amenazado antes?","Jack Sparrow"
Bazooka,"Mejor ser un cohete caído que no haber resplandecido nunca.","Oscar Wilde"
Beach,"La independencia, igual que el honor, es una isla rocosa sin playas.","Napoleón Bonaparte"
Beer,"Cerveza, mi amor por ti no morirá.","Homer Simpson"
Beer,"Los médicos como la cerveza, mejor cuanto más viejos.","Thomas Fuller"
Beer present,"Cerveza, mi amor por ti no morirá.","Homer Simpson"
Beer present,"Los médicos como la cerveza, mejor cuanto más viejos.","Thomas Fuller"
Beetle,"Es mejor ser un escarabajo joven que una vieja ave del paraíso.","M.Twain"
Berries,"Dos lindas bayas modeladas sobre el mismo tallo. Así es como, con dos cuerpos visibles, no teníamos más que un solo corazón.","William Shakespeare"
Big bang theory,"Preguntarse qué había antes del Big Bang es como preguntarse qué hay al norte del Polo Norte.","Stephen Hawking"
Bikini,"El gobierno es como un biquini: nadie sabe cómo se sostiene, pero todos quieren que se caiga.","Anónimo"
Bird,"Amó la paloma.","Palíndromo"
Bird,"Cuando una paloma empieza a frecuentar los cuervos, sus plumas permanecen blancas, pero su corazón se vuelve negro.","Proverbio alemán"
Bird,"Los cuervos arrancan los ojos a los muertos cuando ya no les hacen falta; pero los aduladores destruyen las almas de los vivos cegándoles los ojos.","Epicteto"
Birth,"El que no valora la vida no se la merece.","Da Vinci"
Birth,"El secreto de la existencia humana no solo está en vivir, sino también en saber para qué se vive.","F.Dostoievski"
Birth,"Mejor es un nombre que el buen aceite, y el día de la muerte que el día en que uno nace.","lesiastés 7:1"
Black box,"Cuando se viaja en avión solamente existen dos clases de emociones: el aburrimiento y el terror.","Orson Welles"
Black sail,"Eso es lo que es un barco. No es una quilla, un casco, una cubierta y velas. Eso es lo que un barco necesita, pero no lo que es. Lo que la Perla Negra es en realidad... es la libertad.","Johnny Depp"
Blood,"Los grandes derechos no se compran con lágrimas, sino con sangre.","José Martí"
Blood,"No tengo nada que ofrecer aparte de sangre, sudor y lágrimas.","W.Churchill"
Blood,"No tengo nada que ofrecer aparte de sangre, sudor y lágrimas.","Winston Churchill"
Blood,"Una rosa es inalcanzable si te preocupa salir herido por las espinas.","Angelo Anfossi Mera"
Blood,"Una rosa es inalcanzable si te preocupa salir herido por las espinas.","R.Fontanarrosa"
Boat,"El mar dara a cada hombre una nueva esperanza, como el dormir le da sueños.","Cristóbal Colon"
Boat,"El que no sabe por qué camino llegará al mar, debe buscar el río por compañero.","John Ray"
Boiler,"Agua caliente, salud para el vientre.","Proverbio"
Boiler,"Hay algunos chilenos que quisieran que en sus casas les instalaran por lo menos tres cañerías: una de agua fría, otra de agua caliente y una tercera de tinto.","S.Allende"
Bones,"El hombre es un animal que negocia. Ningún otro animal lo hace: ningún perro intercambia huesos con otro.","Adam Smith"
Book,"El mundo está lleno de libros preciosos que nadie lee","Umberto Eco"
Book,"Hay peores cosas que quemar libros, una de ellas es no leerlos.","Ray Bradbury"
Book,"Madrid es un género literario.","F.Umbral"
Book,"Un libro en manos de un vecino es como un arma cargada.","Ray Bradbury"
Bow,"Si es a la luz de la razon mas digno\nsufrir los golpes y punzantes dardos\nde suerte horrenda, o terminar la lucha\nen guerra contra un pielago de males...","W.Shakespeare"
Bow_lost,"La caza, la pesca, el dibujo y la música ocupaban todos mis momentos. No conocía preocupaciones, y estas no me conocían a mí.","John Audubon"
Bra,"Un hombre es libre mientras tiene la potestad de elegir su ropa interior.","Anónimo"
Brains present,"Aprendí que el conocimiento y la inteligencia pueden ser sistemáticamente expandidos. Que el cerebro puede ser reprogramado.","Timothy Leary"
Brains present,"El cerebro es lo más complejo que se ha descubierto hasta la fecha en el universo.","J.Watson"
Brains present,"El exceso es el veneno de la razón.","F. de Quevedo"
Bread,"A buen hambre no hay pan duro.","Proverbio"
Bread,"Quien muere de hambre, muere asesinado.","Alberto Morlacheti"
Bread,"Vino y pan movieron ejércitos.","Juan Abellán"
Bricks,"La arquitectura es la transformación de un ladrillo sin valor a un ladrillo de oro.","Alvar Aalto"
Bricks,"Los ladrillos saben esperar.","R.G. de la Setna"
Bricks,"Me parezco al que llevaba el ladrillo consigo para mostrar al mundo como era su casa.","Bertolt Brecht"
Bricks_lost,"Encontré Roma como una ciudad de ladrillos, y la dejé como una ciudad de mármol.","César Augusto"
Bubble gum,"Enamorarse es comer un chicle y querer seguir masticándolo aunque haya perdido el sabor.","Anónimo"
Bushes,"Detente. Los árboles ante ti y el arbusto a tu lado no están perdidos.","Albert Einstein"
Butterfly,"¿Una flor caída volviendo a la rama? Era una mariposa.","Io Sogi"
Butterfly,"A una amapola deja sus alas la mariposa como recuerdo.","Matsuo Basho"
Butterfly,"La mariposa recordará por siempre que fue gusano.","Mario Benedetti"
Calm,"Un barco no navega con el viento de ayer.","Proverbio"
Calmness,"Ante las injusticias y adversidades de la vida... ¡calma!","Mahatma Gandhi"
Calmness,"Estar alerta, he ahí la vida; yacer en la tranquilidad, he ahí la muerte.","Oscar Wilde"
Calmness,"Para volar tan rápido como el pensamiento a donde quiera que sea, dijo, debes empezar por saber que ya has llegado.",""
Canvas,"La vida no es más que un tejido de hábitos.","Henry F. Amiel"
Car,"Dejas libros en el coche y nadie te los roba, aunque esté abierto.","Eshter Thuquiets"
Car,"El automóvil es una silla de ruedas.","Nicanor Parra"
Car,"El coche más bello es el que todavía nos queda por hacer.","Enzo Ferrari"
Car,"Un cliente puede tener su automóvil del color que desee, siempre y cuando desee que sea negro.","Henry Ford"
Car,"Un paisaje se conquista con las suelas del zapato, no con las ruedas del automóvil.","William Faulkner"
Carcass,"Es carne, bebida y tela para nosotros.","François Rabelais"
Cart,"La vida de cada hombre es un camino hacia sí mismo, el intento de un camino, el esbozo de un sendero.","Herman Hesse"
Cart,"Yo no viajo para ir a alguna parte, sino por ir. Por el hecho de viajar. El asunto es moverse.","R.L.Stevenson"
Castle,"Bienvenido al Castillo de Antrax. No es un nombre muy bonito, ¿verdad?","""Los caballeros de la mesa cuadrada"" (Monty Python)"
Castle,"Casa de mantener, castillo de defender.","Proverbio"
Castle,"Casa de mantener, castillo de defender.","Proverbio ingles"
Castle,"Esta aldea es propiedad del castillo; quien ella vive o duerma, en cierto modo vive o duerme en el castillo.","F.Kafka"
Castle,"Los edificios, también, son hijos de la tierra y el sol.","Frank Lloyd Wright"
Cat,"El hombre es civilizado en la medida en que comprende a un gato.","G.B.Shaw"
Cat,"Los gatos son misteriosos; pasa más por su mente de lo que nunca podríamos imaginarnos.","Sir Walter Scott"
Cat,"Una casa sin un gato, un bien alimentado, bien cuidado, bien reverenciado gato, puede ser una casa perfecta, pero ¿cómo puede llegar a demostrarlo?","M.Twain"
Cat_egypt,"El gato es el único animal que ha conseguido domesticar al hombre.","Marcel Mauss"
Cat_egypt,"El gato rubrica todos sus pensamientos con la cola.","R. Gómez de la Serna"
Cave,"En la cueva de golosina, la imaginación es totalmente libre, así que... Charlie, ¿entrarás en la cueva, por favor?","Charlie, el unicornio"
Cave,"Si el viento procede de una cueva vacía, hay una razón para ello.","Proverbio chino"
Caviar,"El buen salario, la comida abundante, el buen vestir y la libertad educan a un adulto como la escuela a un niño.","Domingo Faustino Sarmiento"
Caviar,"Existen mujeres que aman a un hombre de la misma manera que comen una comida anhelada...","Jens August Schade"
CD,"Aquí, tu CD lo usamos para cortar las pizzas.","ToteKing"
CD,"Cuanto más usamos la memoria, más la conservamos.","Wagner Gattaz"
Cellophane,"Los bolsillos de los gobernantes deben ser transparentes.","Tierno Galván"
Cellphone,"La globalización ha favorecido a Gates, no a la mayoría.",""
Cellphone,"La globalización ha favorecido a Gates, no a la mayoría.","Joseph Stiglitz"
Cellphone,"Siempre deseé que mi computadora fuera tan fácil de usar como mi teléfono. Mi deseo se ha hecho realidad: ya no sé usar mi teléfono.","Bjarne Stoustrup"
Cellphone,"Siempre deseé que mi computadora fuera tan fácil de usar como mi teléfono. Mi deseo se ha hecho realidad: ya no sé usar mi teléfono.","Umberto Eco"
Cement,"El cemento armado es una musa honesta y útil.","Pío Baroja"
Cement,"El orgullo de quienes no pueden edificar es destruir.","Alejandro Dumas"
Cement,"Un simple sarmiento verde es capaz de crecer sobre el cemento.","Elizabethtown"
Censored,"La palabra es el espejo de la acción.","Solón de Atenas"
Censored,"Nada es más fácil que censurar a los muertos.","Julio César"
Censored,"No hay mejor censura que el beso de una dama.","Roberto Oñate"
Ceramics,"Eres maestro de lo que has vivido,artesano de lo que estás viviendo y aprendiz de lo que vivirás.","Richard Bach"
Chaos,"Antes que todas las cosas, en un comienzo, fue el infinito Caos.","Theogonia"
Chaos,"Bendito sea el caos, porque es síntoma de libertad.","Enrique Tierno Galván"
Chaos,"En el caos busca la simplicidad y en la discordia la armonía.","Bruce Lee"
Chaos,"En el caos busca la simplicidad y en la discordia la armonía.","Lao Tse"
Charity,"El dinero consagrado a la beneficencia no tiene mérito si no representa un sacrificio, una privación.","Cesare Cantú"
Charity,"Las empresas no son instituciones de beneficencia que contratan trabajadores para realizar actos caritativos.","Paul Samuelson"
Charity,"Prestad auxilio si queréis hallarlo.","Félix María Samaniego"
Chastity,"De todas las aberraciones sexuales, la peor es la castidad.","Anatole France"
Chastity,"La castidad es en algunos una virtud, pero en muchos es casi un vicio.","Friedrich Wilhelm Nietzsche."
Cheerfulness,"El único símbolo de superioridad que conozco es la bondad.","Ludwig van Beethoven"
Cheerfulness,"Todo acto de bondad es una demostración de poderío.","Miguel de Unamuno"
Cheese,"¿Cómo esperan que funcione un sistema de partido único en un país con más de 246 diferentes clases de queso?","Atribuida a De Gaulle"
Cheese,"Los poetas han guardado un misterioso silencio sobre el tema del queso.","Gilbert K. Chesterton"
Cigarette,"...el ron es el sabor líquido de la isla y los habanos son el aroma.","José Pablo (sobre Cuba)"
Cigarette,"Marlboro es una marca de tabaco, pero, yo no fumo y mis coches tampoco.","Enzo Ferrari"
Claws,"La crueldad lejos de ser un vicio es el primer sentimiento que imprime en nosotros la naturaleza.","Marqués de Sade"
Clay,"El escultor piensa en mármol.","Oscar Wilde"
Clay,"Porque en el barro te viste crecer, porque del barro sos vos, porque del barro supiste beber, no se olvida el amargo sabor.","Los Piojos"
Cliffs,"Déjate caer por un acantilado, muere completamente y vuelve a la vida; después de eso, nadie podrá engañarte.","Proverbio zen"
Clock,"El tic tac de los relojes parece un ratón que roe el tiempo.","Alphonse Allais"
Clock,"Mi reloj va siempre hacia adelante. La historia también.","Oswald de Andrade"
Clock,"Todo el mundo sabe que el tiempo es muerte, muerte que se esconde en los relojes.","F.Fellini"
Clothes_lost,"Ante esa perspectiva, comencé a plantearme imponer a los pocos harapos que poseía, y que mal llamaba ropa, algún tipo de orden.","Robinson Crusoe"
Clothing,"Con los años he aprendido que lo más importante en un vestido es la mujer que lo lleva puesto.","Yves Saint Laurent"
Clothing,"Desnudo el joven, cuanto ya el vestido océano ha bebido restituir le hace a las arenas.","Luis de Góngora"
Clothing,"Un vestido carece totalmente de sentido, salvo el de inspirar a los hombres el deseo de quitártelo.","Françoise Sagan"
Coal,"El hombre no es una estrella, sino un rápido carbón.","George Herbert"
Coal,"El misterio es un recurso, como el carbón o el oro, y conviene conservarlo.","Tim Cahill"
Coal,"Maderos hay que han dicha, maderos hay que no; de unos hacen santos, y de otros carbón.","Proverbio"
Coconut,"No habría aguantado muchos cocos más de esos. La leche de coco es un laxante natural. Gilligan nunca nos lo dijo.","Náufrago, la película"
Coffee,"aro que el café es un veneno lento; hace cuarenta años que lo bebo.","Voltaire"
Coffee,"El café debe ser caliente como el infierno, negro como el diablo, puro como un ángel y dulce como el amor.","Talleyrand"
Coffee,"La mujer es como una buena taza de café: la primera vez que se toma, no deja dormir.","A.Dumas"
Coffee,"Qué desamparado se siente uno cuando tiene una taza llena de café en la mano y comienza a estornudar.","Jean Kerr"
Commandments,"Cuando las órdenes son razonables, justas, sencillas, claras y consecuentes, existe una satisfacción recíproca entre el líder y el grupo.","Sun Tzu"
Commandments,"El arte de dirigir consiste en saber cuando hay que abandonar la batuta para no molestar a la orquesta.","Herbert Von Karajan"
Compass,"Vagar sin rumbo por la vida, en una especie de éxtasis, es como usar una brújula sin una aguja que nos oriente.","Tom Baker"
Computer,"Hay 10 tipos de personas, las que saben binario y las que no.","Anónimo"
Computer,"Cuando las computadoras igualen la capacidad de cálculo del cerebro humano, necesariamente lo superarán.","R.Kurzweil"
Computer,"Dudo que el ordenador llegue algún día a igualar la intuición y capacidad creativa del sobresaliente intelecto humano.","Isaac Asimov"
Computer,"El hombre acepta sin problemas que una máquina corra más que él. Pero, difícilmente aceptará, que piense mejor que él.","Mihail Tahl"
Computer,"Las máquinas me sorprenden con mucha frecuencia.","Alan Turing"
Computer mouse,"Hay que mover más el trasero y menos el ratón del ordenador.","Andreu Buenafuente"
Concrete,"La satisfacción de un arquitecto es que sus edificios sean absorbidos por la gente.","Rafael Moneo"
Concrete,"Trabajé por lo que más necesitan los hombres hoy: el silencio y la paz.","Le Corbusier"
Cone of cold,"Campo de escarcha. A la loca del pueblo le ladra un perro.","Shiki Masaoka"
Cone of cold,"El viento que sopla por encima del río es tan frío y punzante como una guadaña recién afilada.","H.Murakami"
Cone of cold,"Noche de escarcha. ¿Cómo dormir si el mar no duerme?","Masajo Suzuki"
Continence,"El valor moral es menos común que la valentía en la batalla o una gran inteligencia.","Robert Kennedy"
Continence,"La soledad es la gran talladora del espíritu.","Federico García Lorca"
Continence,"Sin mentiras la humanidad moriría de desesperación y aburrimiento","Anatole France"
Cookies,"El único hombre que es realmente libre es aquel que puede rechazar una invitación a comer sin dar una excusa.","Jules Renard"
Cookies,"Las galletas están hechas de mantequilla y amor.","Proverbio noruego"
Cookies,"Piensa en cuanto mejor sería el mundo si todos nosotros, el mundo entero, tuviese galletas y leche a eso de las tres en punto todas las tardes.","Barbara Jordan"
Copyright,"Ciertamente es agradable ver estampado el propio nombre; un libro es un libro, aunque no contenga nada.","Lord Byron"
Copyright,"El software es como el sexo. Es mejor cuando es libre.","Linus Torvalds"
Corpse,"CAro DAta VERmibus («carne dada a los gusanos»).","DRAE"
Corpse,"Cuando uno no sabe aún lo que es la vida, ¿cómo podría conocer lo que es la muerte?","Confucio"
Corpse,"Un hombre como Picasso estudia un objeto como un cirujano disecciona un cadáver.","Guillaume Apollinaire"
Crayons,"¿No es increíble todo lo que puede tener dentro un lápiz?","Quino"
Credit card,"No pongas tu interés en el dinero, pero pon tu dinero a interés.","Oliver Wendell Holmes"
Credit card,"Si el dinero va delante, todos los caminos se abren.","William Shakespeare"
Crocodile,"¡Cocodrilo que duerme es cartera!","Walter Nelson"
Crossbow,"Aún de un enemigo puede el humano aprender sabiduría.","Aristófanes"
Crossbow,"La civilización no suprime la barbarie; la perfecciona.","Voltaire"
Crossword,"Vivir es hoy un pasatiempo peligroso.","Robespierre"
Crystall ball present,"Adivinar es un deber de los que pretenden dirigir.","José Marti"
Crystall ball present,"La intuición de una mujer es más precisa que la certeza de un hombre.","R.Kipling"
Cyborg,"¡Eres sólo un muñeco!","""Toy Story"""
Cyborg,"¡Qué cómico resultaba yo cuando era un muñeco! ¡Y qué contento estoy ahora de haberme transformado en un chico como es debido!","Pinocho"
Cyborg,"Mediador entre el cerebro y la mano ha de ser el corazón","Metrópolis"
Cyborg,"Mediador entre el cerebro y la mano ha de ser el corazón","Metrópolis (Fritz Lang)"
Cyborg,"Prefiero ser una Ciborg a ser una Diosa.","Donna Haraway"
Darkness,"Cuando no tengo rojo, pongo negro.","Pablo Picasso"
Darkness,"El mundo necesita oscuridad, porque el exceso de luz no nos ilumina ni nos abriga sino que nos ciega y nos abrasa.","Varg Vikernes"
Darkness,"Toda religión que no afirme que Dios está oculto, no es verdadera.","Blaise Pascal"
Darkness,"Veinticinco calabozos\nTiene la cárcel de Utrera.\nVeinticuatro he recorrido\nY el más oscuro me queda.","Carcelera"
Dead dragon,"Y fue lanzado fuera aquel gran dragón, la serpiente antigua, que se llama Diablo y Satanás, el cual engaña a todo el mundo; fue arrojado en tierra, y sus ángeles fueron arrojados con él.","Apocalipsis 12:9"
Death,"El silencio es la réplica más aguda.","G.K.Chesterton"
Death,"Mejor es un nombre que el buen aceite, y el día de la muerte que el día en que uno nace.","Eclesiastés"
Death,"Nunca tendré compasión por los que no supieron morir a tiempo.","El Cid Campeador"
Death metal,"Mejor es un nombre que el buen aceite, y el día de la muerte que el día en que uno nace.","Eclesiastés 7:1"
Death star present,"La fuerza estará ya contigo... siempre.","Yoda"
Death star present,"Nuestro planeta es muy frágil, hay que tratarlo con cariño.","Carl Sagan"
Debt,"Solamente en los sueños somos libres. El resto del tiempo necesitamos el sueldo.","T.Pratchett"
Debt,"Soy un revolucionario, el dinero no significa nada para mí.","F.Chopin"
Demigod,"El hombre es una cuerda tendida entre el animal y el superhombre — una cuerda sobre un abismo.",""
Demigod,"Si el espíritu es un atributo divino, una existencia conforme al espíritu será verdaderamente divina.",""
Demon,"El Diablo no existe.","M.Manson"
Demon,"El Diablo no existe.","Marilyn Manson"
Demon,"Nunca confíes en un demonio. Tiene cien motivos para todo lo que hace... noventa y nueve de ellos, al menos, son malévolos.","N.Gaiman (Sandman)"
Desert,"En ciertos oasis el desierto es solo un espejismo.","Mario Benedetti"
Desert,"Lo bello del desierto es que en algún lugar esconde un pozo.","Antoine de Saint-Exupéry"
Diet,"A menudo me he tenido que comer mis palabras y he descubierto que eran una dieta equilibrada.","W.Churchill"
Diet,"Los mejores médico s del mundo son: el doctor dieta, el doctor reposo y el doctor alegría.","Jonathan Swift"
Diet,"Yo siempre me pongo a dieta, igual que todas las semanas dejo de fumar.","Umberto Eco"
Digital camera,"Fotografiar es colocar la cabeza, el ojo y el corazón en un mismo eje.","Henry Cartier-Bresson"
Digital clock,"Un hombre con pereza es un reloj sin cuerda.","Jaime Luciano Balmes"
Digital photography,"La fotografía solo puede representar el presente. Una vez tomada, la fotografía se convierte en pasado.","Berenice Abbott"
Diligence,"La ciencia hace un trabajo diligente, pero no toma el cielo al asalto.","C.G.Yung"
Diligence,"Si no puedes vivir una vida bella, debes soñarla.","Lin Yutang"
Dinosaur,"El tamaño sí importa.","Godzilla"
Dinosaur,"Me propongo hacer este animal el tipo del nuevo género, Tyrannosaurus, en referencia a su magnitud.","Henry Fairfield Osborn"
Discipline,"Aprenderas a gobernar, después de aprender a ser gobernado.","Solón"
Discipline,"Dios, qué buen vasallo, — si oviesse bien señore!","El Cid Campeador"
Discipline,"La sabiduría y la disciplina son lo que han despreciado los que simplemente son tontos.","Prov.1:7"
DNA,"Cuando sean finalmente interpretados, los mensajes genéticos codificados dentro de las moléculas de nuestro ADN proveerán las respuestas definitivas a los fundamentos químicos de la existencia humana.","James D. Watson"
DNA fingerprinting,"El cuarenta por ciento de la felicidad depende de los genes.","Luis Rojas Marcos"
Dog,"El perro es, generalmente, un animal que jamas se venga del castigo que le aplica su amo.","Charles Dickens"
Dolphin,"Son buena gente (los delfines). Juegan y bromean y se hacen el amor. Son nuestros hermanos, como los peces voladores.","E.Hemingway"
Donation,"El benefactor llama a la puerta, pero el que ama la encuentra abierta.","R. Tagor"
Dough,"Creo que actualmente la cocina es el último reducto que el mundo civilizado nos ha dejado para ejercer la generosidad.","Laura Esquivel"
Dough,"La vida interior necesita una casa confortable y una buena cocina.","David Herbert Lawrence"
Dragon,"El dragón inmóvil en las aguas profundas se convierte en presa de los cangrejos.","Proverbio chino"
Dragon,"Los dragones son demasiado fuertes y tienen demasiadas cualidades mágicas.","J. Rowling"
Dragon,"Ya no hay dragones, los gigantes están muertos y hemos olvidado a los niños del bosque y toda su sabiduría.","George R. R. Martin."
Drow,"La noche nos encuentra y nos sorprende por su extrañeza.","Brassai"
